ep,min_sep,min_ttcp,steps,return,safe
1,4.85176959753977,1.6439228721885515,12,-15.670734104040982,False
2,4.7456608609974955,1.433223127479997,21,-17.234650599874072,False
3,4.958614227659844,2.800584862688253,19,-15.43549525101388,False
4,4.376050886294468,0.2860058990799501,14,-13.680733841227068,False
5,3.916721865193634,2.503199925070015,22,-16.16478221583028,False
6,3.591372948034725,0.9961295532899059,12,-15.961571312759418,False
7,4.7456608609974955,1.433223127479997,21,-17.602561662213063,False
8,8.258953894185588,0.0,40,-44.59110968092278,True
9,7.83741666151235,0.0,29,3.840707814616837,True
10,4.513129529247836,2.2230216023266243,19,-15.190573182555328,False
