ep,min_sep,min_ttcp,steps,return,safe
1,4.363103442784544,1.6200755598159309,12,-15.334528863131435,False
2,4.761498110783873,0.0,17,-14.724702322893176,False
3,4.622289063176214,1.1161895373560637,19,-15.15197013176703,False
4,5.076364687115408,0.0,28,-12.156915076376357,True
5,3.828758027053233,0.2532319378193113,20,-15.055532935696101,False
6,3.746019114547081,1.0505749608938268,12,-14.930121173341892,False
7,2.5030727978281995,0.0,18,-14.585687659877241,False
8,8.41524248360674,0.0,39,7.252554129232609,True
9,8.166053296330743,0.0,29,6.166384815214764,True
10,4.761269664247976,1.743785485423749,19,-14.461136698281104,False
