,Unnamed: 0,time,longitude,latitude
0,0,14:01:40,106.403,4.57203
1,1,14:01:45,106.397,4.56325
2,2,14:01:50,106.391,4.55448
3,3,14:01:55,106.385,4.5457
4,4,14:02:00,106.379,4.53692
5,5,14:02:05,106.373,4.52814
6,6,14:02:10,106.368,4.51936
7,7,14:02:15,106.362,4.51058
8,8,14:02:20,106.356,4.5018
9,9,14:02:25,106.35,4.49302
10,10,14:02:30,106.344,4.48424
11,11,14:02:35,106.338,4.47547
12,12,14:02:40,106.332,4.46669
13,13,14:02:45,106.326,4.45791
14,14,14:02:50,106.321,4.44913
15,15,14:02:55,106.315,4.44035
16,16,14:03:05,106.309,4.43157
17,17,14:03:10,106.303,4.42279
18,18,14:03:14,106.297,4.41401
19,19,14:03:15,106.291,4.40523
20,20,14:03:20,106.285,4.39646
21,21,14:03:25,106.28,4.38768
22,22,14:03:30,106.274,4.3789
23,23,14:03:40,106.268,4.37012
24,24,14:03:45,106.262,4.36134
25,25,14:03:49,106.256,4.35256
26,26,14:03:50,106.25,4.34378
27,27,14:03:55,106.244,4.335
28,28,14:04:00,106.238,4.32622
29,29,14:04:05,106.233,4.31744
30,30,14:04:15,106.228,4.30803
31,31,14:04:20,106.224,4.2981
32,32,14:04:24,106.222,4.28782
33,33,14:04:25,106.221,4.27733
34,34,14:04:30,106.221,4.26679
35,35,14:04:35,106.222,4.25628
36,36,14:04:40,106.223,4.2458
37,37,14:04:50,106.224,4.23534
38,38,14:04:55,106.226,4.22491
39,39,14:04:59,106.228,4.21449
40,40,14:05:00,106.229,4.20408
41,41,14:05:05,106.231,4.19368
42,42,14:05:10,106.233,4.18331
43,43,14:05:15,106.235,4.17294
44,44,14:05:25,106.237,4.16257
45,45,14:05:30,106.239,4.15221
46,46,14:05:34,106.241,4.14184
47,47,14:05:35,106.243,4.13147
48,48,14:05:40,106.245,4.1211
49,49,14:05:45,106.247,4.11073
50,50,14:05:50,106.249,4.10036
51,51,14:06:00,106.251,4.08999
52,52,14:06:05,106.252,4.07963
53,53,14:06:09,106.254,4.06926
54,54,14:06:10,106.256,4.05889
